date;Real Value Added by Industry: Private Industries;Real Value Added by Industry: Agriculture, Forestry, Fishing, and Hunting;Real Value Added by Industry: Mining;Real Value Added by Industry: Utilities;Real Value Added by Industry: Construction;Real Value Added by Industry: Manufacturing;Real Value Added by Industry: Wholesale Trade;Real Value Added by Industry: Retail Trade;Real Value Added by Industry: Transportation and Warehousing;Real Value Added by Industry: Information;Real Value Added by Industry: Finance, Insurance;Real Value Added by Industry: Real Estate and Rental and Leasing;Real Value Added by Industry: Professional and Business Services;Real Value Added by Industry: Educational Services, Health Care, and Social Assistance;Real Value Added by Industry: Arts, Entertainment, Recreation, Accommodation, and Food Services;Real Value Added by Industry: Other Services, Except Government;Real Value Added by Industry: Not Allocated by Industry;Contributions to Percent Change in Real GDP: Private Industries;Contributions to Percent Change in Real GDP: Agriculture, Forestry, Fishing, and Hunting;Contributions to Percent Change in Real GDP: Mining;Contributions to Percent Change in Real GDP: Utilities;Contributions to Percent Change in Real GDP: Construction;Contributions to Percent Change in Real GDP: Manufacturing;Contributions to Percent Change in Real GDP: Wholesale Trade;Contributions to Percent Change in Real GDP: Retail Trade;Contributions to Percent Change in Real GDP: Transportation and Warehousing;Contributions to Percent Change in Real GDP: Information;Contributions to Percent Change in Real GDP: Finance, Insurance;Contributions to Percent Change in Real GDP: Real Estate and Rental and Leasing;Contributions to Percent Change in Real GDP: Professional and Business Services;Contributions to Percent Change in Real GDP: Educational Services, Health Care, and Social Assistance;Contributions to Percent Change in Real GDP: Arts, Entertainment, Recreation, Accommodation, and Food Services;Contributions to Percent Change in Real GDP: Other Services, Except Government
2020-01-01;18138,8;174,8;326,0;326,7;866,9;2173,0;1220,1;1240,2;658,9;1190,4;1494,6;2681,0;2740,5;1823,6;801,1;438,4;-18,5;-5,32;0,07;0,1;-0,13;-0,29;-1,07;0,28;-0,54;-0,11;-0,32;-1,31;0,11;-0,02;-0,27;-1,49;-0,34
2020-04-01;16603,7;157,2;304,0;330,6;815,9;1952,6;1122,4;1159,4;537,2;1176,7;1530,9;2609,0;2547,8;1585,1;442,9;357,2;-31,5;-26,23;-0,27;-0,22;0,11;-0,93;-3,68;-1,8;-1,4;-2,19;-0,19;0,91;-1,23;-3,22;-4,17;-6,47;-1,49
2020-07-01;18047,9;178,8;299,4;338,9;864,5;2177,6;1232,4;1284,8;604,3;1248,4;1545,6;2697,6;2707,3;1819,4;644,4;417,9;-14,2;33,83;0,41;0,04;0,28;1,21;5,07;2,54;3,06;1,51;1,53;0,46;2,14;3,59;5,6;4,87;1,51
2020-10-01;18257,2;183,9;292,9;333,2;878,8;2205,1;1225,8;1255,7;616,1;1269,0;1598,8;2715,0;2783,3;1842,1;656,0;415,2;-7,7;4,11;0,08;0,08;0,01;0,29;0,54;-0,22;-0,56;0,16;0,36;1,02;0,31;1,39;0,48;0,21;-0,05
2021-01-01;18521,0;187,4;287,6;310,9;892,0;2216,1;1215,8;1312,6;661,3;1315,4;1591,6;2756,3;2864,8;1821,4;697,2;405,4;-13,7;5,15;0,06;0,22;-0,29;0,26;0,26;-0,29;1,2;0,78;0,8;-0,28;0,74;1,44;-0,35;0,79;-0,19
2021-04-01;18825,0;183,4;270,6;315,0;908,0;2231,2;1208,3;1247,9;677,5;1383,2;1609,6;2808,2;2952,2;1839,7;795,8;420,4;-58,4;5,89;-0,09;-0,03;0,19;0,28;0,28;-0,18;-1,32;0,28;1,13;0,26;0,96;1,53;0,38;1,91;0,31
2021-07-01;18963,3;181,3;265,0;319,8;888,2;2231,0;1170,2;1194,1;695,3;1421,3;1614,0;2854,5;3045,9;1859,9;841,0;428,4;-99,5;2,61;-0,05;0,11;0,13;-0,43;-0,08;-0,75;-1,15;0,36;0,6;0,02;0,85;1,6;0,39;0,87;0,16
2021-10-01;19328,9;183,0;254,8;320,7;864,3;2314,0;1177,0;1210,2;708,3;1482,2;1652,4;2915,0;3139,2;1887,7;857,8;429,3;-137,5;6,97;0,03;-0,09;-0,02;-0,54;1,38;0,21;0,35;0,34;0,95;0,74;1,15;1,6;0,52;0,35;0,01
2022-01-01;19209,7;175,0;240,1;311,6;871,4;2301,0;1161,2;1154,8;694,5;1473,5;1629,5;2945,1;3170,1;1898,6;847,2;430,5;-180,5;-2,18;-0,17;-0,34;-0,29;0,03;-0,41;-0,2;-1,21;-0,13;-0,15;-0,42;0,58;0,52;0,18;-0,15;0,01
2022-04-01;19170,6;168,5;229,6;324,2;833,6;2262,3;1134,5;1159,9;693,6;1486,0;1609,3;2959,3;3196,2;1908,4;886,4;432,7;-221,5;-0,73;-0,16;-0,29;0,18;-0,81;-0,84;-0,47;0,09;0,09;0,17;-0,37;0,28;0,43;0,16;0,78;0,04
2022-07-01;19310,7;167,0;244,4;312,1;803,1;2266,9;1143,8;1188,2;703,7;1516,9;1587,2;2968,5;3249,1;1937,4;905,0;436,7;-236,3;2,61;-0,04;0,51;-0,33;-0,67;-0,01;0,26;0,59;0,28;0,44;-0,4;0,18;0,86;0,5;0,37;0,07
2022-10-01;19441,5;169,7;267,1;325,7;802,9;2280,9;1147,8;1226,2;705,2;1545,6;1540,9;2976,3;3283,2;1948,4;897,7;437,0;-248,1;2,42;0,07;0,63;0,27;-0,03;0,22;0,12;0,8;0,07;0,4;-0,87;0,14;0,54;0,19;-0,13;0,0
2023-01-01;19555,2;180,5;274,7;323,2;809,4;2227,1;1141,1;1259,9;715,5;1562,2;1536,0;2984,9;3292,9;1999,6;924,2;434,3;-245,4;2,09;0,26;0,17;-0,05;0,14;-0,98;-0,14;0,69;0,21;0,23;-0,09;0,16;0,15;0,88;0,52;-0,06
2023-04-01;19662,3;182,1;292,8;364,0;820,3;2262,3;1125,8;1251,1;729,0;1570,9;1532,7;2986,9;3310,1;2006,7;913,3;427,8;-244,7;1,96;0,03;0,35;0,77;0,23;0,64;-0,32;-0,18;0,27;0,12;-0,06;0,04;0,27;0,12;-0,21;-0,13
2023-07-01;19914,8;179,3;301,3;336,3;850,9;2312,9;1118,8;1318,5;736,1;1625,4;1555,7;3008,6;3334,1;2022,4;912,2;422,1;-249,6;4,63;-0,06;0,16;-0,5;0,65;0,92;-0,15;1,36;0,14;0,75;0,44;0,39;0,38;0,27;-0,02;-0,12
2023-10-01;20084,1;178,5;304,8;351,6;863,4;2360,3;1115,1;1344,9;738,5;1634,1;1562,5;3016,4;3355,1;2044,3;909,7;425,8;-241,2;3,05;-0,01;0,07;0,28;0,26;0,85;-0,08;0,51;0,04;0,12;0,13;0,14;0,33;0,37;-0,05;0,08
